Lookup ID,Member,Total   Number of GIfts,Total Gifts Amount,Largest Gift Amount,Largest Gift Date,First Gift Amount,First Gift Date,Latest Gift Amount,Lastest Gift Date,Total Pledges
1555,"",5,650,200,10/24/2019,50,11/16/2015,200,10/24/2019,0
1658,"",5,1500,500,5/30/2018,250,11/13/2015,500,5/30/2018,1250
2003,"",5,1000,200,5/28/2016,200,5/6/2014,0,5/28/2016,1000
2274,"",5,398,138,10/8/2018,100,3/12/2015,40,10/8/2018,0
292,"",5,6100,5000,10/30/2014,600,5/20/2014,300,7/1/2015,900
3,8-10000401,5,29540,25000,11/19/2015,40,11/17/2015,1000,4/27/2017,0
381,"",5,8000,5000,10/29/2014,5000,10/29/2014,1000,4/15/2020,5000
434,"",5,7000,3000,12/31/2014,3000,12/31/2014,0,11/30/2016,5000
438,"",5,1100,500,10/23/2018,100,5/23/2012,500,10/23/2018,0
541,8-10000255,5,2100,1000,5/7/2013,1000,5/7/2013,250,10/25/2017,0
61,"",5,1300,500,5/28/2015,200,5/6/2014,100,12/30/2019,0
69,"",5,18933.16,14933.16,10/31/2011,14933.16,10/31/2011,1000,4/30/2020,5000
739,8-10000129,5,5140,2000,4/22/2014,2000,4/22/2014,1000,6/7/2017,5000
8-10002467,"",5,6000,2000,1/13/2020,1000,12/30/2015,2000,1/13/2020,5000
8-10005031,"",5,5000,1000,10/24/2019,1000,11/13/2015,1000,6/5/2020,10000
8-10006341,"",5,500,100,10/30/2019,100,11/12/2015,100,10/30/2019,500
8-10006347,"",5,2500,500,11/15/2019,500,11/13/2015,500,11/15/2019,2500
8-10013572,"",5,5000,1000,12/18/2019,1000,10/25/2016,1000,12/18/2019,5000
8-10017543,"",5,5000,1000,12/27/2018,1000,1/9/2017,0,12/27/2018,5000
8-10017584,"",5,350,150,12/31/2017,50,10/28/2016,150,12/31/2017,250
8-10021798,"",5,5000,1000,3/27/2020,1000,4/27/2017,1000,3/27/2020,5000
8-10022046,"",5,5700,4000,5/10/2018,500,4/27/2017,100,12/23/2019,5000
8-10026055,"",5,1000,200,12/31/2019,200,11/1/2017,0,12/31/2019,1000
85,"",5,1150,300,5/6/2014,200,5/24/2011,250,11/13/2015,0
884,"",5,1200,500,10/25/2016,250,5/6/2014,100,12/14/2019,0
885,"",5,7650,5000,10/29/2014,50,5/6/2014,500,11/11/2016,0
978,"",5,536.6,181,10/1/2018,100,5/6/2014,181,10/1/2018,0
1123,"",4,5000,2000,4/23/2014,2000,4/23/2014,1000,5/30/2017,5000
1132,"",4,500,200,6/3/2014,200,6/3/2014,100,5/8/2017,500
1304,"",4,2500,1000,5/6/2014,1000,5/6/2014,500,6/19/2017,2500
131,"",4,175,50,5/6/2014,50,5/23/2012,25,11/13/2015,0
145,"",4,450,200,4/27/2017,50,5/24/2011,200,4/27/2017,0
147,"",4,3850,3000,3/16/2010,3000,3/16/2010,250,10/24/2019,0
1496,"",4,400,200,4/22/2015,100,5/6/2014,0,12/12/2016,150
151,"",4,600,300,5/23/2012,300,5/23/2012,100,4/17/2017,300
164,"",4,11000,5000,6/26/2015,4000,7/9/2014,0,10/11/2016,5000
168,"",4,8000,5000,10/29/2014,5000,10/29/2014,500,9/13/2016,2500
1934,"",4,5000,2000,5/14/2015,2000,5/14/2015,1000,8/29/2018,5000
1990,"",4,5000,2000,5/21/2015,2000,5/21/2015,1000,5/9/2018,5000
2012,"",4,800,200,9/7/2017,200,11/13/2015,200,9/7/2017,600
2013,"",4,500,200,5/19/2015,200,5/19/2015,100,11/12/2019,500
2232,"",4,4500,2000,4/28/2016,1000,3/17/2015,2000,4/28/2016,0
226,"",4,1500,1000,5/19/2015,1000,5/19/2015,500,6/6/2016,1500
263,"",4,1700,500,5/23/2012,500,5/23/2012,0,4/30/2017,750
285,"",4,6000,3000,4/22/2014,3000,4/22/2014,0,8/18/2016,5000
293,"",4,5000,2000,5/6/2014,2000,5/6/2014,1000,9/28/2017,5000
384,"",4,6000,3000,12/30/2015,3000,12/30/2015,1000,5/29/2018,6000
40,8-10000294,4,6300,4500,10/24/2014,4500,10/24/2014,1000,12/27/2016,5500
442,"",4,1200,600,5/22/2014,600,5/22/2014,0,12/5/2016,1000
457,"",4,6000,3000,6/27/2014,3000,6/27/2014,1000,5/23/2016,6000
662,"",4,10500,5000,10/16/2014,500,5/6/2014,2000,6/15/2016,5000
80,"",4,550,250,12/29/2017,100,5/24/2011,250,12/29/2017,0
8-10003907,"",4,1000,400,4/22/2014,400,4/22/2014,200,6/19/2017,1000
8-10005688,8-10000414,4,400,100,10/15/2019,100,10/30/2016,100,10/15/2020,400
8-10006333,"",4,650,200,9/6/2017,150,11/13/2015,150,9/6/2018,750
8-10006471,8-10000515,4,5000,2000,12/6/2016,1000,11/13/2015,1000,10/1/2018,5000
8-10018248,"",4,481.97,201.97,2/15/2019,40,1/26/2018,201.97,2/15/2019,0
8-10030818,"",4,30000,15000,3/30/2020,5000,5/1/2018,15000,3/30/2020,530000
8-10031564,"",4,30731.16,20000,11/26/2019,750,5/7/2018,4981.16,11/26/2019,25000
8-10052042,"",4,1120,420,12/22/2015,420,12/22/2015,300,3/12/2020,0
814,"",4,5000,2000,9/30/2014,2000,9/30/2014,1000,7/3/2017,5000
83,"",4,250,100,5/7/2013,50,5/24/2011,50,5/6/2014,0
904,"",4,600,300,4/7/2015,100,5/7/2013,100,8/31/2018,0
963,"",4,2500,1000,5/6/2014,1000,5/6/2014,500,5/1/2017,2500
987,"",4,650,500,2/2/2018,100,5/7/2014,150,4/15/2020,0
99,"",4,400,100,4/27/2017,100,5/24/2011,100,4/27/2017,0
1049,"",3,400,200,6/3/2014,200,6/3/2014,100,4/26/2017,400
1063,8-10000003,3,4000,2000,5/6/2014,2000,5/6/2014,1000,6/5/2015,3000
113,"",3,2900,2500,5/24/2011,2500,5/24/2011,200,12/15/2015,0
1191,"",3,5000,3000,5/19/2015,3000,5/19/2015,1000,4/24/2017,5000
1196,"",3,5000,3000,5/19/2015,3000,5/19/2015,1000,6/7/2017,5000
1211,"",3,800,450,5/12/2016,450,5/12/2016,100,10/24/2019,450
1229,"",3,1020,600,5/26/2015,120,5/7/2013,300,6/21/2016,1500
1260,"",3,1750,1500,5/22/2018,250,11/13/2015,1500,5/22/2018,0
1298,"",3,850,500,5/16/2013,500,5/16/2013,100,10/23/2018,0
135,"",3,1100,500,4/13/2012,500,12/31/2011,100,5/7/2013,0
1855,"",3,1000,500,5/21/2015,500,5/21/2015,250,7/18/2017,1000
1873,"",3,3000,1000,11/20/2015,1000,5/6/2014,1000,11/20/2015,5000
1877,"",3,500,200,6/1/2018,200,5/21/2015,200,6/1/2018,500
1912,"",3,3000,1000,6/15/2016,1000,5/6/2014,1000,6/15/2016,3000
1952,"",3,700,500,5/6/2014,500,5/6/2014,100,10/25/2017,0
2032,"",3,1250,500,5/29/2015,500,5/6/2014,250,12/8/2015,0
221,"",3,2500,1500,9/9/2014,1500,9/9/2014,500,6/6/2016,2500
2224,"",3,300,100,12/30/2018,100,12/31/2014,100,12/30/2018,0
2231,"",3,11000,10000,11/5/2019,500,12/30/2016,10000,11/5/2019,10500
2264,"",3,11200,10000,3/17/2015,10000,3/17/2015,1000,11/16/2015,0
2267,"",3,53000,25000,5/18/2016,25000,3/10/2015,3000,4/14/2020,0
2320,"",3,11000,10000,5/19/2015,10000,5/19/2015,500,11/25/2016,0
236,"",3,500,300,5/23/2012,300,5/23/2012,100,4/22/2015,0
286,"",3,1750,1000,10/24/2017,250,5/23/2012,500,10/24/2019,0
288,"",3,1500,500,11/30/2015,500,5/7/2013,0,11/30/2015,1000
289,"",3,940,540,12/30/2015,400,5/17/2013,540,12/30/2015,800
290,"",3,500,300,10/9/2014,300,10/9/2014,100,8/10/2016,500
42,"",3,330,200,4/22/2015,50,5/24/2011,200,4/22/2015,80
432,8-10000149,3,540,250,5/23/2012,250,5/23/2012,150,10/18/2016,0
488,8-10000077,3,7931.94,5000,10/29/2014,2000,5/6/2014,931.94,3/7/2016,2000
54,8-10000223,3,700,500,3/16/2010,500,3/16/2010,100,5/23/2012,0
551,"",3,10000,5000,10/16/2014,5000,10/16/2014,1000,6/28/2016,5000
560,"",3,5000,3000,5/6/2014,3000,5/6/2014,1000,7/11/2016,5000
64,"",3,1200,1000,5/24/2011,1000,5/24/2011,100,10/23/2018,0
646,"",3,550,250,10/24/2019,200,5/7/2013,250,10/24/2019,0
741,"",3,1500,500,10/5/2017,500,11/13/2015,500,10/5/2017,2500
8-10002439,8-10001588,3,4251,4000,12/27/2016,250,10/25/2016,1,7/2/2018,0
8-10004600,8-10000220,3,560,250,11/21/2017,150,12/28/2016,160,12/18/2017,0
8-10004918,"",3,900,300,9/26/2017,300,11/13/2015,300,9/26/2017,900
8-10005006,"",3,1250,500,12/31/2016,500,12/31/2016,250,10/25/2017,500
8-10005266,8-10000356,3,2140,1000,5/15/2019,140,9/2/2015,1000,5/15/2020,5000
8-10005921,"",3,1500,500,5/1/2018,500,5/10/2016,75,9/28/2020,500
8-10006163,"",3,325.48,181,10/1/2018,70.9,10/28/2015,181,10/1/2018,0
8-10006302,"",3,1500,500,12/7/2016,500,11/13/2015,0,12/7/2016,1000
